Model,MSO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.4,,,
Sample Interval,3.2e-05,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.00000e+00,4.72,4.88,-0.84,-0.76
-1.99997e+00,4.72,4.64,-0.92,-1
-1.99994e+00,4.72,4.8,-0.84,-0.76
-1.99990e+00,4.72,4.64,-0.84,-0.92
-1.99987e+00,4.72,4.8,-0.84,-0.76
-1.99984e+00,4.64,4.64,-0.92,-0.92
-1.99981e+00,4.72,4.88,-0.84,-0.76
-1.99978e+00,4.72,4.64,-0.84,-1
-1.99974e+00,4.72,4.88,-0.84,-0.76
-1.99971e+00,4.72,4.64,-0.84,-0.92
-1.99968e+00,4.72,4.8,-0.84,-0.76
-1.99965e+00,4.72,4.64,-0.84,-0.92
-1.99962e+00,4.72,4.8,-0.84,-0.76
-1.99958e+00,4.72,4.64,-0.84,-0.92
-1.99955e+00,4.72,4.88,-0.84,-0.76
-1.99952e+00,4.72,4.64,-0.84,-0.92
-1.99949e+00,4.72,4.88,-0.92,-0.76
-1.99946e+00,4.72,4.64,-0.84,-1
-1.99942e+00,4.72,4.88,-0.84,-0.76
-1.99939e+00,4.72,4.64,-0.92,-0.92
-1.99936e+00,4.72,4.8,-0.84,-0.76
-1.99933e+00,4.64,4.64,-0.84,-0.92
-1.99930e+00,4.72,4.88,-0.84,-0.76
-1.99926e+00,4.72,4.64,-0.84,-0.92
-1.99923e+00,4.72,4.88,-0.84,-0.76
-1.99920e+00,4.72,4.56,-0.84,-1
-1.99917e+00,4.64,4.8,-0.92,-0.76
-1.99914e+00,4.72,4.56,-0.84,-0.92
-1.99910e+00,4.72,4.8,-0.84,-0.76
-1.99907e+00,4.72,4.64,-0.84,-1
-1.99904e+00,4.72,4.88,-0.84,-0.76
-1.99901e+00,4.72,4.56,-0.84,-0.92
-1.99898e+00,4.72,4.88,-0.84,-0.76
-1.99894e+00,4.72,4.64,-0.84,-0.92
-1.99891e+00,4.72,4.8,-0.84,-0.76
-1.99888e+00,4.72,4.64,-0.84,-0.92
-1.99885e+00,4.72,4.8,-0.84,-0.76
-1.99882e+00,4.72,4.64,-0.84,-0.92
-1.99878e+00,4.72,4.88,-0.84,-0.76
-1.99875e+00,4.72,4.56,-0.84,-0.92
-1.99872e+00,4.72,4.88,-0.84,-0.76
-1.99869e+00,4.72,4.64,-0.84,-0.92
-1.99866e+00,4.72,4.8,-0.92,-0.76
-1.99862e+00,4.72,4.64,-0.84,-1
-1.99859e+00,4.72,4.88,-0.92,-0.76
-1.99856e+00,4.64,4.64,-0.92,-0.92
-1.99853e+00,4.64,4.8,-0.84,-0.76
-1.99850e+00,4.72,4.56,-0.84,-0.92
-1.99846e+00,4.72,4.88,-0.84,-0.76
-1.99843e+00,4.72,4.56,-0.84,-1
-1.99840e+00,4.72,4.8,-0.92,-0.76
-1.99837e+00,4.72,4.64,-0.92,-0.92
-1.99834e+00,4.8,4.8,-0.92,-0.76
-1.99830e+00,4.72,4.64,-0.92,-0.92
-1.99827e+00,4.72,4.8,-0.92,-0.76
-1.99824e+00,4.72,4.64,-0.84,-1
-1.99821e+00,4.64,4.88,-0.84,-0.76
-1.99818e+00,4.72,4.64,-0.84,-0.92
-1.99814e+00,4.72,4.8,-0.84,-0.76
-1.99811e+00,4.72,4.56,-0.84,-1
-1.99808e+00,4.72,4.8,-0.84,-0.76
-1.99805e+00,4.64,4.64,-0.92,-1
-1.99802e+00,4.64,4.8,-0.92,-0.76
-1.99798e+00,4.72,4.64,-0.84,-0.92
-1.99795e+00,4.72,4.8,-0.92,-0.76
-1.99792e+00,4.72,4.56,-0.92,-0.92
-1.99789e+00,4.72,4.8,-0.84,-0.76
-1.99786e+00,4.72,4.64,-0.84,-0.92
-1.99782e+00,4.72,4.8,-0.92,-0.76
-1.99779e+00,4.72,4.64,-0.84,-0.92
-1.99776e+00,4.72,4.8,-0.84,-0.76
-1.99773e+00,4.64,4.56,-0.84,-0.92
-1.99770e+00,4.72,4.8,-0.84,-0.76
-1.99766e+00,4.72,4.64,-0.84,-0.92
-1.99763e+00,4.72,4.8,-0.84,-0.76
-1.99760e+00,4.72,4.64,-0.84,-0.92
-1.99757e+00,4.72,4.8,-0.92,-0.76
-1.99754e+00,4.64,4.56,-0.92,-1
-1.99750e+00,4.64,4.88,-0.84,-0.76
-1.99747e+00,4.72,4.64,-0.84,-0.92
-1.99744e+00,4.64,4.8,-0.92,-0.76
-1.99741e+00,4.72,4.64,-0.84,-1
-1.99738e+00,4.72,4.8,-0.84,-0.76
-1.99734e+00,4.72,4.64,-0.84,-0.92
-1.99731e+00,4.72,4.8,-0.92,-0.76
-1.99728e+00,4.72,4.64,-0.92,-0.92
-1.99725e+00,4.64,4.8,-0.84,-0.76
-1.99722e+00,4.72,4.56,-0.84,-1
-1.99718e+00,4.72,4.8,-0.84,-0.76
-1.99715e+00,4.72,4.56,-0.84,-0.92
-1.99712e+00,4.72,4.8,-0.84,-0.76
-1.99709e+00,4.72,4.56,-0.84,-0.92
-1.99706e+00,4.72,4.8,-0.84,-0.76
-1.99702e+00,4.72,4.56,-0.84,-1
-1.99699e+00,4.72,4.8,-0.84,-0.76
-1.99696e+00,4.72,4.56,-0.84,-0.92
-1.99693e+00,4.72,4.8,-0.92,-0.68
-1.99690e+00,4.72,4.56,-0.84,-0.92
-1.99686e+00,4.72,4.8,-0.84,-0.76
-1.99683e+00,4.72,4.64,-0.84,-0.92
-1.99680e+00,4.72,4.8,-0.84,-0.76
-1.99677e+00,4.72,4.64,-0.84,-0.92
-1.99674e+00,4.64,4.8,-0.84,-0.76
-1.99670e+00,4.72,4.56,-0.84,-0.92
-1.99667e+00,4.64,4.8,-0.84,-0.76
-1.99664e+00,4.64,4.56,-0.84,-0.92
-1.99661e+00,4.72,4.8,-0.84,-0.76
-1.99658e+00,4.72,4.56,-0.84,-0.92
-1.99654e+00,4.72,4.8,-0.84,-0.76
-1.99651e+00,4.64,4.64,-0.84,-1
-1.99648e+00,4.72,4.8,-0.84,-0.76
-1.99645e+00,4.72,4.64,-0.84,-0.92
-1.99642e+00,4.72,4.8,-0.84,-0.76
-1.99638e+00,4.72,4.56,-0.92,-0.92
