=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.09.30 15:32:15 =~=~=~=~=~=~=~=~=~=~=~=
, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
3 , 991
203, ù
201, 983
201, 991
201, 991
201, 983
202, 991
202, 988
202, 989
202, 988
202, 991
203, 990
203, 991
203, 991
203, ù
201, 983
201, 991
201, 991
201, 983
202, 991
202, 988
202, 989
202, 988
202, 991
203, 990
203, 991
203, 991
203, ù0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
2, 0
2, 0
2, 0
2, 0
2, 0
2, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
5, 0
5, 0
5, 0
5, 0
5, 0
5, 0
5, 0
5, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
7, 0
7, 0
7, 0
7, 0
7, 0
7, 0
7, 0
7, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
17, 0
17, 983
17, 987
17, 982
17, 993
17, 984
18, 985
18, 990
18, 984
18, 985
18, 991
18, 984
19, 997
19, 987
19, 987
19, 991
19, 984
19, 985
20, 990
20, 983
20, 994
20, 982
20, 985
20, 988
21, 980
21, 980
21, 989
21, 984
21, 995
21, 985
22, 983
22, 990
22, 984
22, 983
22, 995
22, 987
23, 994
23, 984
23, 984
23, 991
23, 984
23, 983
24, 989
24, 984
24, 991
24, 981
24, 980
24, 989
25, 982
25, 984
25, 992
25, 984
25, 992
25, 982
26, 983
26, 991
26, 988
26, 988
26, 991
26, 983
27, 989
27, 985
27, 984
27, 991
27, 983
27, 983
28, 990
28, 978
28, 985
28, 984
28, 983
28, 992
29, 984
29, 985
29, 991
29, 982
29, 990
29, 985
30, 988
30, 994
30, 985
30, 985
30, 991
30, 984
31, 987
31, 984
31, 985
31, 991
31, 983
31, 980
32, 988
32, 982
32, 989
32, 984
32, 984
32, 991
33, 984
33, 995
33, 990
33, 984
33, 993
33, 993
34, 985
34, 991
34, 982
34, 996
34, 990
34, 984
35, 989
35, 991
35, 983
35, 986
35, 981
35, 993
36, 991
36, 984
36, 991
36, 990
36, 985
36, 991
37, 984
37, 995
37, 995
37, 987
37, 991
37, 991
38, 984
38, 990
38, 983
38, 993
38, 991
38, 984
39, 987
39, 986
39, 982
39, 989
39, 984
39, 991
40, 990
40, 984
40, 991
40, 991
40, 985
40, 996
41, 988
41, 985
41, 991
41, 982
41, 992
41, 983
42, 985
42, 990
42, 984
42, 989
42, 987
42, 978
43, 991
43, 990
43, 982
43, 990
43, 983
43, 990
44, 991
44, 984
44, 992
44, 996
44, 986
44, 991
45, 985
45, 989
45, 990
45, 982
45, 992
45, 991
46, 984
46, 989
46, 982
46, 986
46, 989
46, 982
47, 991
47, 991
47, 983
47, 991
47, 985
47, 990
48, 990
48, 987
48, 993
48, 992
48, 992
48, 991
49, 991
49, 989
49, 990
49, 983
49, 991
49, 989
50, 992
50, 989
50, 989
50, 991
50, 991
50, 983
51, 991
51, 991
51, 997
51, 990
51, 992
51, 994
52, 992
52, 985
52, 991
52, 990
52, 996
52, 991
53, 990
53, 991
53, 991
53, 984
53, 986
53, 989
54, 992
54, 991
54, 990
54, 991
54, 991
54, 985
55, 991
55, 990
55, 996
55, 995
55, 993
55, 991
56, 991
56, 983
56, 990
56, 990
56, 993
56, 991
57, 991
57, 987
57, 987
57, 982
57, 991
57, 991
58, 991
58, 991
58, 991
58, 992
58, 991
58, 984
59, 994
59, 994
59, 992
59, 991
59, 991
59, 992
60, 990
60, 983
60, 991
60, 989
60, 990
60, 985
61, 987
61, 991
61, 991
61, 986
61, 991
61, 991
62, 991
62, 991
62, 991
62, 995
62, 994
62, 987
63, 992
63, 991
63, 990
63, 991
63, 990
63, 990
64, 990
64, 983
64, 988
64, 986
64, 988
64, 989
65, 991
65, 992
65, 991
65, 995
65, 992
65, 990
66, 990
66, 993
66, 994
66, 993
66, 993
66, 990
67, 992
67, 991
67, 991
67, 991
67, 990
67, 990
68, 987
68, 986
68, 990
68, 989
68, 989
68, 990
69, 991
69, 990
69, 991
69, 991
69, 991
69, 992
70, 997
70, 985
70, 991
70, 991
70, 990
70, 990
71, 991
71, 990
71, 992
71, 991
71, 986
71, 986
72, 988
72, 991
72, 990
72, 990
72, 992
72, 991
73, 990
73, 991
73, 990
73, 996
73, 994
73, 991
74, 992
74, 990
74, 991
74, 991
74, 990
74, 989
75, 991
75, 990
75, 989
75, 988
75, 989
75, 990
76, 990
76, 990
76, 992
76, 991
76, 992
76, 991
77, 990
77, 995
77, 994
77, 992
77, 991
77, 989
78, 992
78, 990
78, 990
78, 992
78, 990
78, 988
79, 986
79, 987
79, 990
79, 991
79, 990
79, 992
80, 990
80, 990
80, 991
80, 991
80, 992
80, 995
81, 993
81, 992
81, 992
81, 989
81, 990
81, 989
82, 991
82, 990
82, 990
82, 989
82, 988
82, 988
83, 991
83, 991
83, 992
83, 990
83, 990
83, 991
84, 982
84, 992
84, 992
84, 993
84, 994
84, 992
85, 990
85, 992
85, 991
85, 990
85, 991
85, 990
86, 991
86, 989
86, 988
86, 989
86, 989
86, 991
87, 992
87, 991
87, 992
87, 991
87, 990
87, 992
88, 994
88, 994
88, 993
88, 990
88, 990
88, 990
89, 989
89, 991
89, 990
89, 990
89, 990
89, 986
90, 987
90, 989
90, 990
90, 991
90, 991
90, 990
91, 990
91, 990
91, 992
91, 991
91, 994
91, 995
92, 992
92, 992
92, 991
92, 990
92, 990
92, 991
93, 990
93, 991
93, 990
93, 985
93, 987
93, 988
94, 990
94, 991
94, 991
94, 992
94, 991
94, 991
95, 991
95, 992
95, 995
95, 993
95, 992
95, 991
96, 989
96, 989
96, 990
96, 991
96, 992
96, 991
97, 988
97, 988
97, 988
97, 990
97, 991
97, 990
98, 992
98, 991
98, 990
98, 991
98, 991
98, 992
99, 994
99, 992
99, 992
99, 990
99, 991
99, 990
100, 983
100, 990
100, 990
100, 982
100, 978
101, 988
101, 981
101, 982
101, 990
101, 983
102, 982
102, 991
102, 984
102, 991
102, 994
103, 985
103, 985
103, 990
103, 984
103, 982
104, 990
104, 984
104, 983
104, 989
104, 979
105, 989
105, 990
105, 983
105, 985
105, 991
106, 983
106, 983
106, 991
106, 987
106, 985
107, 993
107, 994
107, 991
107, 991
107, 983
108, 984
108, 990
108, 982
108, 978
108, 986
109, 981
109, 982
109, 991
109, 996
109, 991
110, 991
110, 984
110, 989
110, 994
110, 985
111, 984
111, 990
111, 984
111, 983
111, 991
112, 992
112, 990
112, 989
112, 979
112, 988
113, 989
113, 984
113, 982
113, 990
113, 984
114, 982
114, 990
114, 993
114, 993
114, 994
115, 984
115, 990
115, 990
115, 984
115, 982
116, 990
116, 982
116, 979
116, 986
116, 988
117, 990
117, 990
117, 983
117, 989
117, 990
118, 983
118, 981
118, 994
118, 994
118, 984
119, 990
119, 988
119, 990
119, 989
119, 984
120, 990
120, 990
120, 978
120, 979
120, 988
121, 983
121, 983
121, 991
121, 990
121, 991
122, 990
122, 985
122, 993
122, 992
122, 984
123, 982
123, 977
123, 983
123, 982
123, 990
124, 990
124, 988
124, 987
124, 981
124, 990
125, 989
125, 983
125, 982
125, 990
125, 984
126, 981
126, 994
126, 987
126, 992
126, 991
127, 983
127, 989
127, 990
127, 983
127, 981
128, 990
128, 979
128, 979
128, 988
128, 991
129, 991
129, 989
129, 984
129, 991
129, 989
130, 983
130, 989
130, 991
130, 986
130, 981
131, 991
131, 991
131, 990
131, 990
131, 983
132, 988
132, 986
132, 982
132, 982
132, 990
133, 989
133, 982
133, 991
133, 992
133, 990
134, 993
134, 987
134, 991
134, 990
134, 983
135, 983
135, 990
135, 984
135, 982
135, 990
136, 989
136, 986
136, 989
136, 982
136, 989
137, 989
137, 983
137, 983
137, 990
137, 982
138, 987
138, 994
138, 984
138, 982
138, 990
139, 983
139, 989
139, 989
139, 983
139, 989
140, 985
140, 992
140, 980
140, 991
140, 992
141, 990
141, 990
141, 983
141, 989
141, 991
142, 988
142, 990
142, 991
142, 995
142, 986
143, 990
143, 990
143, 990
143, 988
143, 981
144, 985
144, 988
144, 982
144, 988
144, 990
145, 993
145, 983
145, 991
145, 983
145, 994
146, 994
146, 985
146, 990
146, 991
146, 982
147, 989
147, 990
147, 990
147, 982
147, 984
148, 987
148, 988
148, 990
148, 983
148, 989
149, 991
149, 990
149, 988
149, 990
149, 995
150, 984
150, 992
150, 990
150, 989
150, 990
151, 983
151, 990
151, 991
151, 982
151, 985
152, 988
152, 988
152, 980
152, 994
152, 991
153, 990
153, 991
153, 984
153, 992
153, 993
154, 986
154, 989
154, 989
154, 988
154, 982
155, 990
155, 989
155, 989
155, 987
155, 979
156, 988
156, 989
156, 984
156, 989
156, 991
157, 990
157, 982
157, 989
157, 995
157, 992
158, 992
158, 983
158, 989
158, 990
158, 984
159, 988
159, 990
159, 989
159, 977
159, 986
160, 982
160, 989
160, 991
160, 982
160, 990
161, 990
161, 983
161, 992
161, 995
161, 992
162, 984
162, 990
162, 984
162, 990
162, 989
163, 983
163, 989
163, 988
163, 980
163, 987
164, 990
164, 991
164, 982
164, 990
164, 992
165, 989
165, 989
165, 988
165, 993
165, 992
166, 984
166, 989
166, 989
166, 991
166, 982
167, 990
167, 991
167, 985
167, 986
167, 981
168, 989
168, 989
168, 982
168, 990
168, 990
169, 990
169, 984
169, 994
169, 992
169, 991
170, 990
170, 982
170, 989
170, 990
170, 989
171, 990
171, 989
171, 986
171, 988
171, 989
172, 983
172, 990
172, 989
172, 985
172, 990
173, 990
173, 996
173, 992
173, 992
173, 991
174, 989
174, 989
174, 990
174, 988
174, 990
175, 983
175, 986
175, 985
175, 992
175, 990
176, 990
176, 990
176, 990
176, 990
176, 982
177, 990
177, 994
177, 986
177, 991
177, 990
178, 990
178, 989
178, 990
178, 990
178, 989
179, 989
179, 986
179, 988
179, 988
179, 989
180, 989
180, 989
180, 990
180, 989
180, 989
181, 991
181, 993
181, 991
181, 990
181, 989
182, 990
182, 982
182, 989
182, 989
182, 988
183, 987
183, 987
183, 987
183, 989
183, 990
184, 990
184, 989
184, 989
184, 984
184, 990
185, 993
185, 991
185, 991
185, 989
185, 991
186, 990
186, 990
186, 990
186, 990
186, 989
187, 980
187, 985
187, 988
187, 989
187, 990
188, 989
188, 990
188, 987
188, 990
188, 982
189, 994
189, 992
189, 984
189, 989
189, 988
190, 989
190, 989
190, 989
190, 989
190, 988
191, 986
191, 980
191, 988
191, 990
191, 981
192, 989
192, 989
192, 991
192, 989
192, 991
193, 994
193, 991
193, 989
193, 990
193, 989
194, 990
194, 982
194, 989
194, 989
194, 987
195, 985
195, 988
195, 990
195, 989
