=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.10.22 14:56:08 =~=~=~=~=~=~=~=~=~=~=~=
, 0
119, 0
119, 0
119, 0
119, 0
119, 0
119, 0
117, 6
117, 0
117, 0
117, 6
11÷, 6
117, 0
117, 0
117, 6
117, 0
117, 0
117, 5
117, 0
117, 0
117, 6
117, 0
117, 0
117, 6
117, 0
117, 0
117, 6
11÷, 6
117, 0
117, 0
117, 6
117, 0
117, 0
117, 5
117, 0
117, 0
117, 6
117, 0
117, 0
117, 6
117, 0
117, 0
117, 6
11÷127, 52
127, 28
127, 8
127, 12
127, 0
127, 7
127, 0
127, 6
127, 0
127, 6
127, 0
127, 5
127, 4
127, 0
127, 5
127, 0
127, 6
127, 5
127, 0
127, 0
127, 5
127, 0
127, 0
127, 5
127, 0
127, 0
127, 5
127, 0
127, 0
127, 5
127, 0
127, 0
128, 5
128, 0
128, 0
128, 5
128, 0
128, 0
128, 5
128, 0
128, 0
128, 5
128, 0
128, 0
128, 5
128, 0
128, 0
128, 4
128, 0
128, 0
128, 4
128, 0
128, 0
128, 4
128, 0
128, 0
129, 5
129, 0
129, 0
129, 6
129, 0
129, 0
129, 5
129, 0
129, 0
129, 5
129, 0
129, 0
129, 6
129, 0
129, 0
129, 5
129, 0
129, 0
129, 4
129, 0
129, 0
129, 5
129, 0
129, 0
130, 5
130, 0
130, 0
130, 6
130, 0
130, 0
130, 6
130, 0
130, 0
130, 5
130, 0
130, 0
130, 6
130, 0
130, 0
130, 5
130, 0
130, 0
130, 6
130, 0
130, 0
130, 4
130, 0
130, 0
131, 5
131, 0
131, 0
131, 5
131, 0
131, 0
131, 5
131, 0
131, 0
131, 6
131, 0
131, 0
131, 4
131, 0
131, 0
131, 5
131, 0
131, 0
131, 5
131, 0
131, 0
131, 5
131, 0
131, 0
132, 5
132, 0
132, 0
132, 5
132, 0
132, 0
132, 5
132, 0
132, 0
132, 6
132, 0
132, 0
132, 5
132, 0
132, 0
132, 5
132, 0
132, 0
132, 4
132, 0
132, 0
132, 6
132, 0
132, 0
133, 5
133, 0
133, 0
133, 5
133, 0
133, 0
133, 5
133, 0
133, 0
133, 4
133, 0
133, 0
133, 5
133, 0
133, 0
133, 5
133, 0
133, 0
133, 5
133, 0
133, 0
133, 4
133, 0
133, 0
134, 5
134, 0
134, 0
134, 4
134, 0
134, 0
134, 4
134, 0
134, 0
134, 5
134, 0
134, 0
