Record Length,40000,,Source,CH1,CH2
Sample Interval,CH1:0.0003999999899 CH2:0.0003999999899,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-8.00000000000,-0.12000,0.04000
Vertical Scale,CH1:1.00 CH2:1.00,,-7.99959993362,-0.08000,0.04000
Vertical Offset,CH1:0.00 CH2:1.00000,,-7.99919986725,-0.08000,0.04000
Horizontal Units,s,,-7.99879980087,-0.12000,0.04000
Horizontal Scale,1.0000000000,,-7.99839973450,-0.08000,0.04000
Model Number,2190E,,-7.99799966812,-0.08000,0.04000
Serial Number,512C18110,,-7.99759960175,-0.08000,0.04000
Software Version,6.01.01.19,,-7.99720001221,-0.12000,0.04000
,,,-7.99679994583,-0.08000,0.04000
,,,-7.99639987946,-0.08000,0.04000
,,,-7.99599981308,-0.12000,0.04000
,,,-7.99559974670,-0.08000,0.04000
,,,-7.99519968033,-0.12000,0.00
,,,-7.99479961395,-0.08000,0.04000
,,,-7.99440002441,-0.08000,0.00
,,,-7.99399995804,-0.08000,0.04000
,,,-7.99359989166,-0.08000,0.00
,,,-7.99319982529,-0.08000,0.04000
,,,-7.99279975891,-0.08000,0.04000
,,,-7.99239969254,-0.12000,0.04000
,,,-7.99199962616,-0.04000,0.04000
,,,-7.99159955978,-0.08000,0.04000
,,,-7.99119997025,-0.08000,0.00
,,,-7.99079990387,-0.08000,0.04000
,,,-7.99039983749,-0.08000,0.04000
,,,-7.98999977112,-0.04000,0.04000
,,,-7.98959970474,-0.04000,0.04000
,,,-7.98919963837,-0.08000,0.00
,,,-7.98879957199,-0.12000,0.00
,,,-7.98839998245,-0.08000,0.00
,,,-7.98799991608,-0.08000,0.00
,,,-7.98759984970,-0.04000,0.04000
,,,-7.98719978333,-0.12000,0.04000
,,,-7.98679971695,-0.04000,0.04000
,,,-7.98639965057,-0.04000,0.04000
,,,-7.98599958420,-0.04000,0.04000
,,,-7.98559999466,-0.04000,0.04000
,,,-7.98519992828,-0.04000,0.04000
,,,-7.98479986191,-0.08000,0.04000
,,,-7.98439979553,-0.04000,0.04000
,,,-7.98399972916,-0.04000,0.04000
,,,-7.98359966278,-0.04000,0.04000
,,,-7.98319959641,-0.04000,0.00
,,,-7.98280000687,-0.04000,0.04000
,,,-7.98239994049,-0.08000,0.04000
,,,-7.98199987411,-0.04000,0.04000
,,,-7.98159980774,-0.08000,0.04000
,,,-7.98119974136,-0.04000,0.04000
,,,-7.98079967499,-0.08000,0.04000
,,,-7.98039960861,-0.08000,0.04000
,,,-7.98000001907,-0.08000,0.00
,,,-7.97959995270,-0.04000,0.04000
,,,-7.97919988632,-0.08000,0.04000
,,,-7.97879981995,-0.04000,0.04000
,,,-7.97839975357,-0.04000,0.00
,,,-7.97799968719,-0.04000,0.04000
,,,-7.97759962082,-0.04000,0.00
,,,-7.97720003128,-0.04000,0.04000
,,,-7.97679996490,-0.04000,0.00
,,,-7.97639989853,-0.04000,0.04000
,,,-7.97599983215,-0.04000,0.00
,,,-7.97559976578,-0.04000,0.04000
,,,-7.97519969940,-0.08000,0.00
,,,-7.97479963303,-0.04000,0.00
,,,-7.97439956665,-0.04000,0.04000
,,,-7.97399997711,-0.04000,0.04000
,,,-7.97359991074,-0.04000,0.04000
,,,-7.97319984436,-0.04000,0.04000
,,,-7.97279977798,-0.04000,0.04000
,,,-7.97239971161,-0.04000,0.00
,,,-7.97199964523,-0.08000,0.04000
,,,-7.97159957886,-0.04000,0.00
,,,-7.97119998932,-0.04000,0.04000
,,,-7.97079992294,-0.04000,0.04000
,,,-7.97039985657,-0.04000,0.04000
,,,-7.96999979019,-0.04000,0.04000
,,,-7.96959972382,-0.04000,0.04000
,,,-7.96919965744,-0.04000,0.04000
,,,-7.96879959106,-0.04000,0.04000
,,,-7.96840000153,-0.04000,0.04000
,,,-7.96799993515,-0.04000,0.04000
,,,-7.96759986877,-0.04000,0.04000
,,,-7.96719980240,-0.04000,0.04000
,,,-7.96679973602,-0.04000,0.04000
,,,-7.96639966965,-0.04000,0.04000
,,,-7.96599960327,-0.04000,0.00
,,,-7.96560001373,0.00,0.04000
,,,-7.96519994736,-0.04000,0.04000
,,,-7.96479988098,-0.04000,0.04000
,,,-7.96439981461,-0.04000,0.00
,,,-7.96399974823,-0.04000,0.00
,,,-7.96359968185,0.00,0.04000
,,,-7.96319961548,0.00,0.00
,,,-7.96280002594,-0.04000,0.04000
,,,-7.96239995956,0.00,0.04000
,,,-7.96199989319,-0.04000,0.00
,,,-7.96159982681,0.00,0.04000
,,,-7.96119976044,-0.04000,0.04000
,,,-7.96079969406,-0.04000,0.04000
,,,-7.96039962769,-0.04000,0.00
,,,-7.95999956131,-0.04000,0.04000
,,,-7.95959997177,0.00,0.04000
,,,-7.95919990540,-0.04000,0.04000
,,,-7.95879983902,0.00,0.04000
,,,-7.95839977264,0.00,0.04000
,,,-7.95799970627,0.00,0.08000
,,,-7.95759963989,0.00,0.04000
,,,-7.95719957352,0.00,0.00
,,,-7.95679998398,0.00,0.04000
,,,-7.95639991760,0.00,0.04000
,,,-7.95599985123,0.00,0.04000
,,,-7.95559978485,0.00,0.04000
,,,-7.95519971848,0.00,0.00
,,,-7.95479965210,0.00,0.04000
,,,-7.95439958572,0.00,0.04000
,,,-7.95399999619,-0.04000,0.04000
,,,-7.95359992981,0.00,0.04000
,,,-7.95319986343,0.00,0.04000
,,,-7.95279979706,0.00,0.04000
,,,-7.95239973068,0.00,0.04000
,,,-7.95199966431,0.00,0.04000
,,,-7.95159959793,0.00,0.00
,,,-7.95120000839,0.04000,0.00
,,,-7.95079994202,0.00,0.04000
,,,-7.95039987564,0.00,0.04000
,,,-7.94999980927,0.00,0.04000
,,,-7.94959974289,0.00,0.04000
,,,-7.94919967651,0.04000,0.04000
,,,-7.94879961014,0.00,0.04000
,,,-7.94840002060,0.00,0.04000
,,,-7.94799995422,0.00,0.04000
,,,-7.94759988785,0.00,0.04000
,,,-7.94719982147,0.00,0.00
,,,-7.94679975510,0.00,0.04000
,,,-7.94639968872,0.00,0.04000
,,,-7.94599962234,0.00,0.00
,,,-7.94560003281,0.00,0.04000
,,,-7.94519996643,0.04000,0.04000
,,,-7.94479990005,0.00,0.04000
,,,-7.94439983368,0.04000,0.04000
,,,-7.94399976730,0.00,0.04000
,,,-7.94359970093,0.04000,0.04000
,,,-7.94319963455,0.00,0.04000
,,,-7.94279956818,0.00,0.04000
,,,-7.94239997864,0.04000,0.08000
,,,-7.94199991226,0.00,0.00
,,,-7.94159984589,0.00,0.04000
,,,-7.94119977951,0.04000,0.04000
,,,-7.94079971313,0.00,0.04000
,,,-7.94039964676,0.00,0.04000
,,,-7.93999958038,0.04000,0.04000
,,,-7.93959999084,0.04000,0.00
,,,-7.93919992447,0.00,0.00
,,,-7.93879985809,0.00,0.00
,,,-7.93839979172,0.00,0.00
,,,-7.93799972534,0.04000,0.04000
,,,-7.93759965897,0.04000,0.04000
,,,-7.93719959259,0.04000,0.00
,,,-7.93680000305,0.04000,0.04000
,,,-7.93639993668,0.04000,0.04000
,,,-7.93599987030,0.04000,0.08000
,,,-7.93559980392,0.04000,0.08000
,,,-7.93519973755,0.00,0.04000
,,,-7.93479967117,0.00,0.00
,,,-7.93439960480,0.04000,0.00
,,,-7.93400001526,0.04000,0.04000
,,,-7.93359994888,0.04000,0.04000
,,,-7.93319988251,0.00,0.04000
,,,-7.93279981613,0.00,0.00
,,,-7.93239974976,0.04000,0.00
,,,-7.93199968338,0.04000,0.00
,,,-7.93159961700,0.04000,0.04000
,,,-7.93120002747,0.04000,0.00
,,,-7.93079996109,0.04000,0.04000
,,,-7.93039989471,0.00,0.00
,,,-7.92999982834,0.04000,0.04000
,,,-7.92959976196,0.00,0.04000
,,,-7.92919969559,0.04000,0.04000
,,,-7.92879962921,0.04000,0.04000
,,,-7.92839956284,0.04000,0.04000
,,,-7.92799997330,0.04000,0.04000
,,,-7.92759990692,0.04000,0.04000
,,,-7.92719984055,0.04000,0.04000
,,,-7.92679977417,0.04000,0.04000
,,,-7.92639970779,0.04000,0.04000
,,,-7.92599964142,0.04000,0.00
,,,-7.92559957504,0.04000,0.04000
,,,-7.92519998550,0.04000,0.00
,,,-7.92479991913,0.04000,0.00
,,,-7.92439985275,0.04000,0.04000
,,,-7.92399978638,0.04000,0.04000
,,,-7.92359972000,0.04000,0.04000
,,,-7.92319965363,0.04000,0.00
,,,-7.92279958725,0.04000,0.04000
,,,-7.92239999771,0.04000,0.00
,,,-7.92199993134,0.04000,0.04000
,,,-7.92159986496,0.04000,0.04000
,,,-7.92119979858,0.04000,0.04000
,,,-7.92079973221,0.04000,0.04000
,,,-7.92039966583,0.04000,0.00
,,,-7.91999959946,0.04000,0.00
,,,-7.91960000992,0.04000,0.04000
,,,-7.91919994354,0.04000,0.04000
,,,-7.91879987717,0.04000,0.04000
,,,-7.91839981079,0.04000,0.04000
,,,-7.91799974442,0.04000,0.04000
,,,-7.91759967804,0.04000,0.04000
,,,-7.91719961166,0.04000,0.04000
,,,-7.91680002213,0.04000,0.04000
,,,-7.91639995575,0.04000,0.04000
,,,-7.91599988937,0.04000,0.04000
,,,-7.91559982300,0.04000,0.04000
,,,-7.91519975662,0.04000,0.00
,,,-7.91479969025,0.08000,0.04000
,,,-7.91439962387,0.04000,0.04000
,,,-7.91400003433,0.04000,0.04000
,,,-7.91359996796,0.04000,0.04000
,,,-7.91319990158,0.04000,0.00
,,,-7.91279983521,0.04000,0.04000
,,,-7.91239976883,0.04000,0.04000
,,,-7.91199970245,0.04000,0.04000
,,,-7.91159963608,0.04000,0.00
,,,-7.91119956970,0.04000,0.00
,,,-7.91079998016,0.04000,0.04000
,,,-7.91039991379,0.04000,0.04000
,,,-7.90999984741,0.08000,0.00
,,,-7.90959978104,0.04000,0.00
,,,-7.90919971466,0.08000,0.04000
,,,-7.90879964828,0.04000,0.04000
,,,-7.90839958191,0.04000,0.00
,,,-7.90799999237,0.04000,0.04000
,,,-7.90759992599,0.04000,0.04000
,,,-7.90719985962,0.04000,0.04000
,,,-7.90679979324,0.04000,0.04000
,,,-7.90639972687,0.04000,0.00
,,,-7.90599966049,0.08000,0.04000
,,,-7.90559959412,0.04000,0.04000
,,,-7.90520000458,0.04000,0.04000
,,,-7.90479993820,0.04000,0.04000
,,,-7.90439987183,0.04000,0.04000
,,,-7.90399980545,0.04000,0.00
,,,-7.90359973907,0.08000,0.04000
,,,-7.90319967270,0.04000,0.04000
,,,-7.90279960632,0.04000,0.04000
,,,-7.90240001678,0.04000,0.04000
,,,-7.90199995041,0.08000,0.04000
,,,-7.90159988403,0.04000,0.04000
,,,-7.90119981766,0.04000,0.04000
,,,-7.90079975128,0.04000,0.04000
,,,-7.90039968491,0.08000,0.04000
,,,-7.89999961853,0.04000,0.04000
,,,-7.89960002899,0.08000,0.00
,,,-7.89919996262,0.04000,0.04000
,,,-7.89879989624,0.04000,0.04000
,,,-7.89839982986,0.04000,0.00
,,,-7.89799976349,0.04000,0.00
,,,-7.89759969711,0.04000,0.04000
,,,-7.89719963074,0.04000,0.04000
,,,-7.89679956436,0.04000,0.04000
,,,-7.89639997482,0.04000,0.04000
,,,-7.89599990845,0.04000,0.04000
,,,-7.89559984207,0.04000,0.04000
,,,-7.89519977570,0.04000,0.04000
,,,-7.89479970932,0.04000,0.00
,,,-7.89439964294,0.04000,0.04000
,,,-7.89399957657,0.04000,0.04000
,,,-7.89359998703,0.04000,0.04000
,,,-7.89319992065,0.04000,0.04000
,,,-7.89279985428,0.04000,0.04000
,,,-7.89239978790,0.04000,0.08000
,,,-7.89199972153,0.04000,0.04000
,,,-7.89159965515,0.04000,0.00
,,,-7.89119958878,0.04000,0.00
,,,-7.89079999924,0.04000,0.00
,,,-7.89039993286,0.04000,0.04000
,,,-7.88999986649,0.04000,0.04000
,,,-7.88959980011,0.04000,0.04000
,,,-7.88919973373,0.04000,0.04000
,,,-7.88879966736,0.04000,0.04000
,,,-7.88839960098,0.04000,0.08000
,,,-7.88800001144,0.04000,0.04000
,,,-7.88759994507,0.04000,0.04000
,,,-7.88719987869,0.04000,0.04000
,,,-7.88679981232,0.04000,0.04000
,,,-7.88639974594,0.04000,0.04000
,,,-7.88599967957,0.04000,0.00
,,,-7.88559961319,0.04000,0.04000
,,,-7.88520002365,0.04000,0.04000
,,,-7.88479995728,0.04000,0.04000
,,,-7.88439989090,0.04000,0.04000
,,,-7.88399982452,0.04000,0.04000
,,,-7.88359975815,0.04000,0.04000
,,,-7.88319969177,0.04000,0.04000
,,,-7.88279962540,0.04000,0.04000
,,,-7.88240003586,0.04000,0.04000
,,,-7.88199996948,0.04000,0.04000
,,,-7.88159990311,0.04000,0.04000
,,,-7.88119983673,0.00,0.04000
,,,-7.88079977036,0.04000,0.00
,,,-7.88039970398,0.04000,0.00
,,,-7.87999963760,0.04000,0.04000
,,,-7.87959957123,0.04000,0.04000
,,,-7.87919998169,0.04000,0.04000
,,,-7.87879991531,0.04000,0.04000
,,,-7.87839984894,0.04000,0.00
,,,-7.87799978256,0.00,0.04000
,,,-7.87759971619,0.04000,0.04000
,,,-7.87719964981,0.00,0.04000
,,,-7.87679958344,0.04000,0.04000
,,,-7.87639999390,0.04000,0.04000
,,,-7.87599992752,0.00,0.04000
,,,-7.87559986115,0.04000,0.04000
,,,-7.87519979477,0.04000,0.08000
,,,-7.87479972839,0.04000,0.04000
,,,-7.87439966202,0.00,0.04000
,,,-7.87399959564,0.04000,0.00
,,,-7.87360000610,0.00,0.00
,,,-7.87319993973,0.04000,0.04000
,,,-7.87279987335,0.00,0.04000
,,,-7.87239980698,0.00,0.04000
,,,-7.87199974060,0.04000,0.00
,,,-7.87159967422,0.00,0.04000
